"","Name","DriveAcc","DriveDist","Money","Score2","Putts","ApproachDist","PuttsMadeDist","ClubSpeed","OnePuttPerc","Score1"
"1","Cameron Champ","55.30","317.9","$1,695,748","70.71","29.88","166.0","4' 7""","129.58","38.70","68.66"
"2","Rory McIlroy","61.82","313.5","$7,785,286","69.04","28.38","170.8","3' 0""","122.54","36.11","70.75"
"3","Luke List","53.06","313.3","$1,391,408","70.97","29.29","162.9","4' 2""","120.58","38.89","69.06"
"4","Dustin Johnson","55.57","312.0","$5,534,619","69.89","28.71","175.3","3' 10""","117.60","42.36","71.00"
"5","Wyndham Clark","56.37","311.8","$1,278,721","69.81","28.09","167.0","3' 10""","121.46","44.84","69.75"
"6","Bubba Watson","58.13","311.6","$1,558,014","70.60","29.72","161.1","3' 3""","118.98","31.48","72.33"
"7","Seth Reeves","57.22","311.4","$309,588","71.13","29.52","159.3","3' 9""","124.13","36.83","70.67"
"8","Trey Mullinax","51.03","310.2","$536,694","70.59","29.29","162.9","3' 9""","122.56","34.34","69.91"
"9","Tony Finau","56.94","309.5","$4,344,380","69.75","28.82","173.2","3' 7""","120.37","42.71","68.44"
"10","Cameron Davis","58.01","309.0","$477,467","70.10","29.25","160.9","4' 5""","118.48","42.36","69.83"
"11","Brooks Koepka","61.83","309.0","$9,684,006","69.20","28.86","165.5","3' 11""","122.09","34.72","70.08"
"12","Jhonattan Vegas","58.93","308.3","$1,566,910","70.19","29.35","163.3","3' 10""","121.30","37.50","70.00"
"13","Gary Woodland","63.41","308.2","$5,690,965","69.76","29.30","169.1","4' 9""","122.35","35.19","68.26"
"14","Sam Burns","57.17","307.2","$1,117,312","70.47","28.49","163.8","3' 9""","119.44","37.73","70.00"
"15","J.B. Holmes","56.50","306.7","$2,147,065","71.18","29.35","154.6","3' 10""","117.37","38.89","69.56"
"16","Jason Kokrak","62.74","306.4","$2,330,212","69.98","29.22","170.6","4' 9""","119.13","35.28","69.90"
"17","Ollie Schniederjans","48.47","306.4","$411,682","71.00","28.47","158.9","3' 10""","120.28","40.51","71.21"
"18","Phil Mickelson","50.77","306.3","$2,440,221","71.13","28.92","155.3","5' 1""","122.37","46.53","67.88"
"19","Jon Rahm","62.50","305.6","$4,990,110","69.41","28.78","171.3","4' 0""","117.88","36.46","69.31"
"20","Patrick Cantlay","57.34","304.7","$6,121,488","69.17","28.25","161.7","3' 12""","116.69","40.43","68.89"
"21","Sepp Straka","63.91","304.4","$934,894","70.25","29.47","163.6","4' 11""","113.86","37.58","71.29"
"22","Brandon Harkins","56.96","304.3","$494,795","70.65","29.17","161.2","3' 10""","116.30","41.56","70.72"
"23","Xander Schauffele","60.29","304.1","$5,609,456","69.65","28.72","172.8","4' 6""","117.56","42.22","69.00"
"24","Martin Trainer","50.76","303.8","$692,155","71.82","28.59","157.1","3' 8""","119.15","36.42","70.94"
"25","Kevin Tway","55.26","303.8","$2,300,050","70.35","29.19","159.6","3' 9""","122.19","36.54","69.58"
"26","Alex Prugh","64.08","303.7","$467,732","70.52","30.01","159.8","3' 8""","118.27","34.22","70.28"
"27","Keith Mitchell","60.38","303.2","$2,405,360","70.45","29.29","173.2","3' 9""","120.91","36.39","69.40"
"28","Justin Rose","60.14","303.2","$4,358,849","69.90","27.94","169.8","4' 8""","116.77","50.00","68.25"
